iter	Passed	Remaining
0	66	65988
1	77	38580
2	86	28590
3	96	24005
4	112	22408
5	121	20093
6	128	18228
7	139	17320
8	147	16244
9	154	15288
10	163	14698
11	171	14109
12	178	13579
13	185	13064
14	196	12875
15	206	12669
16	213	12374
17	224	12263
18	233	12053
19	242	11858
20	249	11615
21	257	11429
22	265	11287
23	272	11085
24	279	10889
25	288	10817
26	298	10762
27	304	10566
28	311	10414
29	325	10516
30	334	10448
31	344	10406
32	357	10473
33	367	10435
34	389	10735
35	396	10611
36	404	10525
37	417	10564
38	425	10493
39	433	10402
40	443	10364
41	453	10339
42	464	10337
43	474	10300
44	491	10428
45	498	10338
46	512	10396
47	521	10347
48	528	10257
49	538	10225
50	545	10156
51	552	10075
52	559	9991
53	574	10062
54	583	10032
55	590	9961
56	601	9948
57	608	9887
58	617	9847
59	628	9852
60	635	9789
61	642	9727
62	649	9666
63	657	9621
64	668	9621
65	677	9594
66	685	9542
67	696	9541
68	704	9508
69	717	9529
70	736	9638
71	744	9589
72	754	9580
73	762	9539
74	770	9507
75	779	9474
76	795	9530
77	805	9526
78	817	9532
79	825	9489
80	831	9438
81	838	9389
82	848	9373
83	856	9336
84	862	9287
85	870	9247
86	883	9272
87	893	9264
88	902	9234
89	912	9224
90	919	9181
91	926	9142
92	933	9100
93	943	9093
94	950	9050
95	957	9013
96	965	8990
97	977	8994
98	985	8968
99	993	8942
100	1012	9007
101	1020	8984
102	1027	8945
103	1036	8930
104	1045	8911
105	1053	8887
106	1063	8878
107	1071	8851
108	1078	8816
109	1085	8780
110	1096	8777
111	1103	8749
112	1110	8714
113	1116	8680
114	1127	8675
115	1137	8668
116	1144	8639
117	1151	8609
118	1161	8596
119	1168	8565
120	1176	8548
121	1185	8531
122	1193	8508
123	1199	8477
124	1207	8450
125	1214	8421
126	1223	8412
127	1230	8384
128	1237	8356
129	1244	8326
130	1254	8323
131	1262	8304
132	1269	8274
133	1280	8273
134	1288	8254
135	1295	8230
136	1302	8203
137	1312	8197
138	1319	8175
139	1329	8166
140	1335	8138
141	1347	8139
142	1354	8116
143	1361	8096
144	1368	8069
145	1378	8061
146	1384	8034
147	1391	8009
148	1398	7986
149	1408	7981
150	1415	7959
151	1422	7936
152	1429	7911
153	1439	7907
154	1446	7883
155	1453	7861
156	1459	7837
157	1469	7833
158	1478	7822
159	1485	7800
160	1492	7776
161	1501	7767
162	1508	7745
163	1517	7734
164	1524	7713
165	1534	7708
166	1540	7686
167	1547	7664
168	1553	7639
169	1564	7637
170	1571	7616
171	1577	7594
172	1584	7574
173	1595	7575
174	1602	7556
175	1610	7538
176	1616	7517
177	1624	7504
178	1631	7484
179	1639	7467
180	1645	7446
181	1654	7436
182	1661	7416
183	1667	7396
184	1674	7378
185	1684	7371
186	1692	7356
187	1698	7337
188	1705	7319
189	1714	7311
190	1722	7296
191	1729	7278
192	1735	7258
193	1745	7250
194	1755	7245
195	1761	7227
196	1769	7211
197	1776	7196
198	1783	7178
199	1790	7160
200	1796	7143
201	1803	7124
202	1813	7119
203	1819	7101
204	1826	7083
205	1833	7066
206	1844	7065
207	1851	7050
208	1859	7037
209	1868	7029
210	1877	7021
211	1884	7005
212	1891	6988
213	1900	6979
214	1907	6966
215	1914	6948
216	1920	6931
217	1928	6916
218	1936	6906
219	1943	6889
220	1949	6872
221	1957	6859
222	1967	6855
223	1974	6840
224	1982	6827
225	1988	6810
226	1998	6804
227	2004	6788
228	2012	6776
229	2019	6760
230	2030	6758
231	2036	6741
232	2043	6727
233	2050	6710
234	2059	6703
235	2066	6688
236	2075	6680
237	2081	6665
238	2091	6657
239	2098	6643
240	2105	6630
241	2112	6617
242	2125	6620
243	2132	6606
244	2139	6592
245	2147	6583
246	2155	6571
247	2161	6555
248	2169	6542
249	2177	6532
250	2185	6520
251	2191	6505
252	2198	6491
253	2205	6477
254	2214	6470
255	2221	6457
256	2230	6449
257	2239	6440
258	2247	6429
259	2254	6416
260	2260	6401
261	2267	6387
262	2279	6387
263	2286	6373
264	2293	6360
265	2302	6353
266	2311	6346
267	2320	6336
268	2327	6323
269	2335	6315
270	2343	6302
271	2350	6289
272	2356	6274
273	2364	6265
274	2373	6257
275	2381	6246
276	2388	6233
277	2396	6223
278	2403	6212
279	2411	6200
280	2419	6191
281	2433	6195
282	2439	6181
283	2446	6168
284	2453	6156
285	2463	6150
286	2470	6138
287	2479	6129
288	2490	6128
289	2497	6115
290	2504	6101
291	2513	6093
292	2522	6086
293	2530	6075
294	2536	6061
295	2543	6050
296	2553	6044
297	2560	6031
298	2567	6018
299	2575	6009
300	2588	6010
301	2599	6008
302	2605	5994
303	2618	5993
304	2626	5985
305	2637	5981
306	2645	5971
307	2653	5961
308	2660	5949
309	2666	5936
310	2676	5929
311	2685	5920
312	2691	5908
313	2698	5895
314	2711	5896
315	2720	5889
316	2729	5880
317	2741	5879
318	2753	5878
319	2760	5866
320	2769	5858
321	2776	5845
322	2782	5832
323	2790	5823
324	2800	5816
325	2807	5805
326	2814	5793
327	2823	5784
328	2839	5791
329	2848	5782
330	2855	5771
331	2866	5767
332	2873	5754
333	2880	5742
334	2886	5730
335	2895	5722
336	2904	5713
337	2913	5705
338	2925	5704
339	2933	5694
340	2940	5682
341	2946	5669
342	2956	5662
343	2963	5651
344	2972	5642
345	2979	5632
346	2993	5634
347	3001	5623
348	3008	5612
349	3020	5608
350	3026	5596
351	3035	5587
352	3050	5591
353	3057	5579
354	3064	5568
355	3071	5556
356	3081	5551
357	3089	5540
358	3096	5528
359	3103	5517
360	3114	5512
361	3121	5501
362	3129	5491
363	3140	5486
364	3151	5482
365	3158	5470
366	3165	5459
367	3176	5454
368	3182	5442
369	3190	5431
370	3198	5423
371	3210	5420
372	3218	5409
373	3225	5398
374	3237	5396
375	3245	5385
376	3251	5373
377	3258	5362
378	3269	5357
379	3276	5345
380	3284	5336
381	3299	5338
382	3307	5327
383	3314	5316
384	3321	5305
385	3329	5296
386	3336	5284
387	3344	5276
388	3351	5264
389	3361	5257
390	3368	5245
391	3376	5236
392	3388	5233
393	3396	5224
394	3404	5214
395	3411	5202
396	3421	5197
397	3429	5186
398	3438	5179
399	3446	5170
400	3459	5168
401	3466	5157
402	3477	5151
403	3488	5147
404	3497	5138
405	3514	5141
406	3521	5131
407	3529	5120
408	3536	5110
409	3547	5104
410	3555	5095
411	3562	5084
412	3568	5072
413	3581	5069
414	3589	5059
415	3597	5050
416	3605	5040
417	3612	5029
418	3619	5018
419	3626	5007
420	3634	4999
421	3642	4989
422	3649	4978
423	3657	4968
424	3666	4960
425	3675	4952
426	3682	4942
427	3689	4931
428	3702	4927
429	3708	4916
430	3716	4906
431	3723	4895
432	3733	4888
