feature,trade_type,optimal_win_range_start,optimal_win_range_end
62_ZLEMA_percent_away,LE,0.3124991556311177,1.0789647388726618
CHAIKIN,LE,-0.5044478916250905,2.23341617279402
VROC,LE,0.1339615567942084,1.0322728812285717
VROC,LE,1.629096158421265,3.7272068545316626
VROC,LE,4.422475208374697,5.326939350099707
ADX,LE,-1.8561460172048174,-0.5505018735948732
DM_ADX_PLOT,LE,-1.8561460172048174,-0.5505018735948732
AWESOME,LE,-1.08303357431932,-0.9660548723058473
AWESOME,LE,-0.8458491716161407,-0.42311234502952155
RIND,LE,-1.4807178423239846,-0.9839916781122093
RIND,LE,-0.32670756183198124,0.30799809243862053
CHOP_INDEX,LE,-1.4725948908733495,-1.3364728156634664
CHOP_INDEX,LE,-0.12738850056391704,2.526991966028802
1000_SMA_percent_away,LE,-1.5332285648537947,0.22132838663778598
14_MA_ENVELOPES_UPPER_percent_away,LE,0.1560185229640656,0.3324066393974251
14_MA_ENVELOPES_UPPER_percent_away,LE,0.7282999673922987,1.0301196332893805
