time,event,amount
2024-03-18T09:04:02,Loss,$-1325.00
2024-03-18T09:04:02,Strategy,$-1325.00
2024-03-18T09:04:02,Account,$248675.00
2024-03-18T09:37:57,Profit,$75.00
2024-03-18T09:37:57,Strategy,$-1250.00
2024-03-18T09:37:57,Account,$248750.00
2024-03-18T14:00:01,Loss,$-1025.00
2024-03-18T14:00:01,Strategy,$-2275.00
2024-03-18T14:00:01,Account,$247725.00
2024-03-18T14:54:08,Profit,$775.00
2024-03-18T14:54:08,Strategy,$-1500.00
2024-03-18T14:54:08,Account,$248500.00
2024-03-18T15:00:13,Loss,$-775.00
2024-03-18T15:00:13,Strategy,$-2275.00
2024-03-18T15:00:13,Account,$247725.00
2024-03-18T16:00:00,Profit,$50.00
2024-03-18T16:00:00,Strategy,$-2225.00
2024-03-18T16:00:00,Account,$247775.00
2024-03-18T16:05:35,Profit,$825.00
2024-03-18T16:05:35,Strategy,$-1400.00
2024-03-18T16:05:35,Account,$248600.00
2024-03-18T16:15:16,Profit,$440.00
2024-03-18T16:15:16,Strategy,$-960.00
2024-03-18T16:15:16,Account,$250780.00
2024-03-18T16:16:58,Profit,$720.00
2024-03-18T16:16:58,Strategy,$-240.00
2024-03-18T16:16:58,Account,$251905.00
2024-03-18T16:17:00,Profit,$1635.00
2024-03-18T16:17:00,Strategy,$1395.00
2024-03-18T16:17:00,Account,$251395.00
2024-03-18T16:34:19,Profit,$440.00
2024-03-18T16:34:19,Strategy,$1835.00
2024-03-18T16:34:19,Account,$253455.00
2024-03-18T16:34:36,Profit,$1180.00
2024-03-18T16:34:36,Strategy,$3015.00
2024-03-18T16:34:36,Account,$253015.00
2024-03-18T18:07:30,Loss,$-1300.00
2024-03-18T18:07:30,Strategy,$1715.00
2024-03-18T18:07:30,Account,$251715.00
2024-03-18T21:07:05,Loss,$-400.00
2024-03-18T21:07:05,Strategy,$1315.00
2024-03-18T21:07:05,Account,$251315.00
2024-03-18T21:22:07,Loss,$-1100.00
2024-03-18T21:22:07,Strategy,$215.00
2024-03-18T21:22:07,Account,$250215.00
2024-03-18T21:33:20,Loss,$-1650.00
2024-03-18T21:33:20,Strategy,$-1435.00
2024-03-18T21:33:20,Account,$248565.00
2024-03-18T23:00:02,Profit,$440.00
2024-03-18T23:00:02,Strategy,$-995.00
2024-03-18T23:00:02,Account,$250725.00
2024-03-18T23:00:02,Profit,$1240.00
2024-03-18T23:00:02,Strategy,$245.00
2024-03-18T23:00:02,Account,$250245.00
2024-03-18T23:46:26,Profit,$440.00
2024-03-18T23:46:26,Strategy,$685.00
2024-03-18T23:46:26,Account,$252625.00
2024-03-19T00:03:50,Profit,$1880.00
2024-03-19T00:03:50,Strategy,$2565.00
2024-03-19T00:03:50,Account,$252565.00
2024-03-19T06:45:56,Loss,$-925.00
2024-03-19T06:45:56,Strategy,$1640.00
2024-03-19T06:45:56,Account,$251640.00
2024-03-19T07:20:39,Loss,$-25.00
2024-03-19T07:20:39,Strategy,$1615.00
2024-03-19T07:20:39,Account,$251615.00
2024-03-19T08:05:27,Loss,$-725.00
2024-03-19T08:05:27,Strategy,$890.00
2024-03-19T08:05:27,Account,$250890.00
2024-03-19T09:01:57,Loss,$-825.00
2024-03-19T09:01:57,Strategy,$65.00
2024-03-19T09:01:57,Account,$250065.00
2024-03-19T09:15:42,Profit,$700.00
2024-03-19T09:15:42,Strategy,$765.00
2024-03-19T09:15:42,Account,$250765.00
2024-03-19T10:05:31,Profit,$440.00
2024-03-19T10:05:31,Strategy,$1205.00
2024-03-19T10:05:31,Account,$253065.00
2024-03-19T10:06:16,Profit,$720.00
2024-03-19T10:06:16,Strategy,$1925.00
2024-03-19T10:06:16,Account,$254130.00
2024-03-19T10:06:29,Profit,$1785.00
2024-03-19T10:06:29,Strategy,$3710.00
2024-03-19T10:06:29,Account,$253710.00
2024-03-19T13:29:01,Profit,$975.00
2024-03-19T13:29:01,Strategy,$4685.00
2024-03-19T13:29:01,Account,$254685.00
2024-03-19T13:48:42,Loss,$-1825.00
2024-03-19T13:48:42,Strategy,$2860.00
2024-03-19T13:48:42,Account,$252860.00
2024-03-19T14:31:25,Profit,$440.00
2024-03-19T14:31:25,Strategy,$3300.00
2024-03-19T14:31:25,Account,$255340.00
2024-03-19T14:31:32,Profit,$720.00
2024-03-19T14:31:32,Strategy,$4020.00
2024-03-19T14:31:32,Account,$255985.00
2024-03-19T14:31:51,Profit,$1755.00
2024-03-19T14:31:51,Strategy,$5775.00
2024-03-19T14:31:51,Account,$255775.00
2024-03-19T14:48:56,Loss,$-1825.00
2024-03-19T14:48:56,Strategy,$3950.00
2024-03-19T14:48:56,Account,$253950.00
2024-03-19T15:20:19,Profit,$440.00
2024-03-19T15:20:19,Strategy,$4390.00
2024-03-19T15:20:19,Account,$256150.00
2024-03-19T15:20:51,Profit,$1520.00
