time,event,signal_name1,value
2024-03-18T08:51:36,Signal,FIB_EMA_CROSS,
2024-03-18T09:20:11,Signal,FIB_EMA_CROSS,
2024-03-18T13:22:00,Signal,FIB_EMA_CROSS,
2024-03-18T14:49:21,Signal,FIB_EMA_CROSS,
2024-03-18T14:58:54,Signal,FIB_EMA_CROSS,
2024-03-18T15:00:49,Signal,FIB_EMA_CROSS,
2024-03-18T15:05:41,Signal,FIB_EMA_CROSS,
2024-03-18T15:47:20,Signal,FIB_EMA_CROSS,
2024-03-18T16:02:05,Signal,FIB_EMA_CROSS,
2024-03-18T16:11:50,Signal,FIB_EMA_CROSS,
2024-03-18T16:26:50,Signal,FIB_EMA_CROSS,
2024-03-18T18:04:05,Signal,FIB_EMA_CROSS,
2024-03-18T20:37:10,Signal,FIB_EMA_CROSS,
2024-03-18T21:00:03,Signal,FIB_EMA_CROSS,
2024-03-18T21:20:31,Signal,FIB_EMA_CROSS,
2024-03-18T21:32:34,Signal,FIB_EMA_CROSS,
2024-03-18T21:39:25,Signal,FIB_EMA_CROSS,
2024-03-18T23:05:33,Signal,FIB_EMA_CROSS,
2024-03-19T05:23:37,Signal,FIB_EMA_CROSS,
2024-03-19T07:05:24,Signal,FIB_EMA_CROSS,
2024-03-19T08:01:42,Signal,FIB_EMA_CROSS,
2024-03-19T08:42:46,Signal,FIB_EMA_CROSS,
2024-03-19T09:06:17,Signal,FIB_EMA_CROSS,
2024-03-19T09:56:26,Signal,FIB_EMA_CROSS,
2024-03-19T11:52:41,Signal,FIB_EMA_CROSS,
2024-03-19T13:22:00,Signal,FIB_EMA_CROSS,
2024-03-19T13:44:17,Signal,FIB_EMA_CROSS,
2024-03-19T14:30:35,Signal,FIB_EMA_CROSS,
2024-03-19T14:46:30,Signal,FIB_EMA_CROSS,
2024-03-19T15:15:10,Signal,FIB_EMA_CROSS,
2024-03-19T16:08:46,Signal,FIB_EMA_CROSS,
2024-03-19T18:14:26,Signal,FIB_EMA_CROSS,
2024-03-19T18:20:54,Signal,FIB_EMA_CROSS,
2024-03-19T18:36:02,Signal,FIB_EMA_CROSS,
2024-03-19T19:01:38,Signal,FIB_EMA_CROSS,
2024-03-19T19:07:52,Signal,FIB_EMA_CROSS,
2024-03-19T19:54:40,Signal,FIB_EMA_CROSS,
2024-03-19T20:04:55,Signal,FIB_EMA_CROSS,
2024-03-19T20:22:56,Signal,FIB_EMA_CROSS,
2024-03-20T06:01:56,Signal,FIB_EMA_CROSS,
2024-03-20T13:40:10,Signal,FIB_EMA_CROSS,
2024-03-20T14:48:07,Signal,FIB_EMA_CROSS,
2024-03-20T15:00:01,Signal,FIB_EMA_CROSS,
2024-03-20T17:08:49,Signal,FIB_EMA_CROSS,
2024-03-20T17:30:53,Signal,FIB_EMA_CROSS,
2024-03-20T18:12:07,Signal,FIB_EMA_CROSS,
2024-03-20T19:00:02,Signal,FIB_EMA_CROSS,
2024-03-20T19:01:07,Signal,FIB_EMA_CROSS,
2024-03-20T19:02:57,Signal,FIB_EMA_CROSS,
2024-03-20T19:09:23,Signal,FIB_EMA_CROSS,
2024-03-20T19:33:39,Signal,FIB_EMA_CROSS,
2024-03-20T19:38:44,Signal,FIB_EMA_CROSS,
2024-03-20T19:39:37,Signal,FIB_EMA_CROSS,
2024-03-20T19:56:12,Signal,FIB_EMA_CROSS,
2024-03-20T19:59:05,Signal,FIB_EMA_CROSS,
2024-03-20T20:01:48,Signal,FIB_EMA_CROSS,
2024-03-20T20:04:03,Signal,FIB_EMA_CROSS,
2024-03-20T20:47:15,Signal,FIB_EMA_CROSS,
2024-03-20T20:55:26,Signal,FIB_EMA_CROSS,
2024-03-20T23:23:00,Signal,FIB_EMA_CROSS,
2024-03-21T09:01:01,Signal,FIB_EMA_CROSS,
2024-03-21T14:53:13,Signal,FIB_EMA_CROSS,
2024-03-21T14:55:50,Signal,FIB_EMA_CROSS,
2024-03-21T15:00:51,Signal,FIB_EMA_CROSS,
2024-03-21T15:17:58,Signal,FIB_EMA_CROSS,
2024-03-21T15:39:58,Signal,FIB_EMA_CROSS,
2024-03-21T16:03:13,Signal,FIB_EMA_CROSS,
2024-03-21T16:18:12,Signal,FIB_EMA_CROSS,
2024-03-21T18:01:11,Signal,FIB_EMA_CROSS,
2024-03-21T18:47:11,Signal,FIB_EMA_CROSS,
2024-03-21T19:34:01,Signal,FIB_EMA_CROSS,
2024-03-21T19:53:20,Signal,FIB_EMA_CROSS,
2024-03-21T20:33:00,Signal,FIB_EMA_CROSS,
2024-03-21T20:48:08,Signal,FIB_EMA_CROSS,
2024-03-21T20:52:30,Signal,FIB_EMA_CROSS,
2024-03-22T11:14:33,Signal,FIB_EMA_CROSS,
2024-03-22T11:55:01,Signal,FIB_EMA_CROSS,
2024-03-22T14:41:37,Signal,FIB_EMA_CROSS,
2024-03-22T14:47:39,Signal,FIB_EMA_CROSS,
2024-03-22T15:14:40,Signal,FIB_EMA_CROSS,
2024-03-22T15:22:42,Signal,FIB_EMA_CROSS,
2024-03-22T17:34:30,Signal,FIB_EMA_CROSS,
2024-03-22T18:21:37,Signal,FIB_EMA_CROSS,
2024-03-22T19:33:13,Signal,FIB_EMA_CROSS,
2024-03-22T20:16:17,Signal,FIB_EMA_CROSS,
2024-03-25T03:11:56,Signal,FIB_EMA_CROSS,
2024-03-25T09:22:15,Signal,FIB_EMA_CROSS,
2024-03-25T09:55:00,Signal,FIB_EMA_CROSS,
2024-03-25T13:38:52,Signal,FIB_EMA_CROSS,
2024-03-25T14:07:49,Signal,FIB_EMA_CROSS,
2024-03-25T14:36:47,Signal,FIB_EMA_CROSS,
2024-03-25T15:38:12,Signal,FIB_EMA_CROSS,
2024-03-25T15:46:04,Signal,FIB_EMA_CROSS,
2024-03-25T17:30:39,Signal,FIB_EMA_CROSS,
2024-03-25T18:08:25,Signal,FIB_EMA_CROSS,
2024-03-25T20:04:51,Signal,FIB_EMA_CROSS,
2024-03-25T20:50:23,Signal,FIB_EMA_CROSS,
2024-03-26T08:39:55,Signal,FIB_EMA_CROSS,
2024-03-26T13:12:49,Signal,FIB_EMA_CROSS,
2024-03-26T13:41:27,Signal,FIB_EMA_CROSS,
2024-03-26T13:52:23,Signal,FIB_EMA_CROSS,
2024-03-26T14:14:48,Signal,FIB_EMA_CROSS,
2024-03-26T14:30:14,Signal,FIB_EMA_CROSS,
2024-03-26T14:30:41,Signal,FIB_EMA_CROSS,
2024-03-26T14:51:17,Signal,FIB_EMA_CROSS,
2024-03-26T15:22:25,Signal,FIB_EMA_CROSS,
2024-03-26T15:41:02,Signal,FIB_EMA_CROSS,
2024-03-26T18:02:45,Signal,FIB_EMA_CROSS,
2024-03-26T18:44:27,Signal,FIB_EMA_CROSS,
2024-03-26T19:42:38,Signal,FIB_EMA_CROSS,
2024-03-26T20:05:33,Signal,FIB_EMA_CROSS,
2024-03-26T20:54:40,Signal,FIB_EMA_CROSS,
2024-03-27T14:43:43,Signal,FIB_EMA_CROSS,
2024-03-27T14:52:16,Signal,FIB_EMA_CROSS,
