time,event,qty,price
2024-03-20T12:26:56,LE2,1,18281.75
2024-03-20T12:27:26,Parabolic stop,1,18258.75
2024-03-20T13:56:26,LE2,1,18274.75
2024-03-20T13:56:26,LE1,1,18267.25
2024-03-20T14:00:02,Profit target,1,18289.25
2024-03-20T14:00:02,Profit target,1,18310.75
2024-03-20T14:20:52,LE2,1,18344.25
2024-03-20T14:20:52,LE1,1,18336.75
2024-03-20T14:28:09,Profit target,1,18358.75
2024-03-20T14:30:01,Profit target,1,18380.25
2024-03-20T14:36:06,LE2,1,18322.50
2024-03-20T14:36:06,LE1,1,18314.25
2024-03-20T14:36:07,Profit target,1,18336.25
2024-03-20T14:36:07,Parabolic stop,1,18320.00
2024-03-20T21:00:03,SE1,1,18567.50
2024-03-20T21:00:03,SE2,1,18567.50
2024-03-20T22:32:21,Parabolic stop,1,18591.50
2024-03-20T22:32:21,Parabolic stop,1,18591.50
2024-03-21T10:08:50,LE2,1,18655.25
2024-03-21T10:09:24,Parabolic stop,1,18640.25
2024-03-21T10:44:30,LE2,1,18652.25
2024-03-21T10:49:11,Parabolic stop,1,18642.75
2024-03-21T11:16:19,LE2,1,18647.00
2024-03-21T11:16:47,Parabolic stop,1,18625.50
2024-03-21T14:21:32,LE2,1,18612.50
2024-03-21T14:21:32,LE1,1,18605.00
2024-03-21T14:26:48,Parabolic stop,1,18591.50
2024-03-21T14:35:07,Parabolic stop,1,18586.00
2024-03-21T14:45:30,LE2,1,18582.00
2024-03-21T14:57:05,Parabolic stop,1,18566.00
2024-03-21T15:35:14,SE1,1,18579.50
2024-03-21T15:35:14,SE2,1,18579.50
2024-03-21T15:59:53,Profit target,1,18557.50
2024-03-21T16:23:18,LE2,1,18582.50
2024-03-21T18:09:51,Parabolic stop,1,18568.25
2024-03-22T00:01:29,LE2,1,18561.75
2024-03-22T02:13:01,Parabolic stop,1,18564.50
2024-03-22T05:26:43,SE1,1,18587.50
2024-03-22T05:26:43,SE2,1,18587.50
2024-03-22T07:20:15,Profit target,1,18565.50
2024-03-22T07:38:55,Profit target,1,18551.50
2024-03-22T08:44:28,LE2,1,18522.75
2024-03-22T09:16:24,Parabolic stop,1,18524.50
2024-03-22T09:52:52,LE2,1,18529.50
2024-03-22T10:05:41,Parabolic stop,1,18546.25
2024-03-22T11:02:36,LE2,1,18531.75
2024-03-22T11:31:21,Parabolic stop,1,18540.75
2024-03-24T19:47:47,LE2,1,18582.25
2024-03-24T21:41:19,Parabolic stop,1,18573.50
2024-03-25T04:34:32,LE2,1,18561.50
2024-03-25T04:35:01,Parabolic stop,1,18540.25
2024-03-25T08:23:37,LE2,1,18484.50
2024-03-25T08:33:59,Parabolic stop,1,18462.25
2024-03-25T09:33:12,LE2,1,18471.25
2024-03-25T09:33:28,Parabolic stop,1,18453.50
2024-03-25T09:46:31,LE2,1,18447.75
2024-03-25T09:51:32,Profit target,1,18483.75
2024-03-25T16:59:59,LE2,1,18533.00
2024-03-25T21:10:01,Parabolic stop,1,18531.75
2024-03-26T10:59:14,LE2,1,18564.00
2024-03-26T10:59:14,LE1,1,18556.50
2024-03-26T11:22:13,Profit target,1,18578.50
2024-03-26T12:00:31,Parabolic stop,1,18563.25
2024-03-26T14:27:45,LE2,1,18558.50
2024-03-26T14:28:50,Parabolic stop,1,18536.75
2024-03-26T16:00:39,LE2,1,18468.25
2024-03-26T18:42:25,Parabolic stop,1,18469.25
2024-03-27T08:28:38,SE1,1,18520.25
2024-03-27T08:28:38,SE2,1,18520.25
2024-03-27T08:50:15,Parabolic stop,1,18542.50
2024-03-27T08:50:15,Parabolic stop,1,18542.50
2024-03-27T10:05:19,LE2,1,18415.25
2024-03-27T10:05:45,Parabolic stop,1,18393.75
2024-03-27T10:13:44,LE2,1,18407.75
2024-03-27T10:19:11,Parabolic stop,1,18415.00
2024-03-27T10:25:42,SE1,1,18415.75
2024-03-27T10:25:42,SE2,1,18415.75
2024-03-27T10:34:43,Parabolic stop,1,18435.50
2024-03-27T10:34:43,Parabolic stop,1,18435.50
2024-03-27T15:27:53,LE2,1,18425.00
2024-03-27T15:38:26,Profit target,1,18461.00
2024-03-28T06:08:00,LE2,1,18487.75
2024-03-28T06:32:41,Parabolic stop,1,18479.50
2024-03-28T09:36:50,LE2,1,18484.75
2024-03-28T09:46:02,Profit target,1,18520.75
2024-03-28T14:12:02,LE2,1,18477.25
2024-03-28T14:12:02,LE1,1,18470.00
2024-03-28T14:12:02,Parabolic stop,1,18454.25
2024-03-28T14:56:37,Profit target,1,18492.00
2024-03-28T16:59:59,LE2,1,18512.25
2024-03-28T16:59:59,LE1,1,18502.50
2024-03-31T18:00:00,Profit target,1,18524.50
2024-03-31T18:00:00,Parabolic stop,1,18511.75
2024-04-01T09:32:20,LE2,1,18507.75
2024-04-01T09:34:40,Profit target,1,18543.75
2024-04-01T10:08:25,LE2,1,18578.00
2024-04-01T10:15:07,Parabolic stop,1,18565.00
2024-04-01T10:24:28,LE2,1,18543.50
2024-04-01T10:25:42,Parabolic stop,1,18523.00
2024-04-01T10:44:53,LE2,1,18504.50
2024-04-01T10:44:53,LE1,1,18497.00
2024-04-01T10:44:53,Parabolic stop,1,18476.50
2024-04-01T10:51:51,Parabolic stop,1,18478.00
2024-04-01T11:23:56,LE2,1,18456.75
2024-04-01T11:36:27,Parabolic stop,1,18451.75
2024-04-01T12:04:25,LE2,1,18443.25
2024-04-01T12:16:40,Profit target,1,18479.25
2024-04-02T02:26:53,LE2,1,18485.00
2024-04-02T03:10:02,Parabolic stop,1,18472.75
2024-04-02T04:00:59,LE2,1,18474.75
2024-04-02T04:19:15,Profit target,1,18510.75
2024-04-02T09:37:18,LE2,1,18289.25
2024-04-02T09:37:18,LE1,1,18281.75
2024-04-02T09:37:18,Parabolic stop,1,18267.75
2024-04-02T09:38:50,Parabolic stop,1,18259.50
2024-04-02T09:59:59,LE2,1,18254.25
2024-04-02T10:00:00,Parabolic stop,1,18237.00
2024-04-02T10:00:43,LE2,1,18242.75
2024-04-02T10:04:54,Parabolic stop,1,18255.00
2024-04-02T10:22:11,LE2,1,18231.25
2024-04-02T10:25:45,Parabolic stop,1,18230.00
2024-04-03T03:01:34,LE2,1,18293.00
2024-04-03T03:01:53,Parabolic stop,1,18271.00
2024-04-03T07:03:11,LE2,1,18282.50
2024-04-03T07:31:31,Parabolic stop,1,18289.50
