feature,optimal_win_range_start,optimal_win_range_end
VOLUME,1781.1881881881884,3235.3023023023025
VOLUME,4160.647647647648,4627.726726726727
VOLUME,5262.249249249249,8805.0
ZIGZAG_HIGH_percent_away,-0.536357812073485,-0.4944656089629158
ZIGZAG_HIGH_percent_away,-0.34200545993756565,-0.2664621428529327
ZIGZAG_HIGH_percent_away,-0.10232711755086654,-0.002747290484759406
DM_ADX_PLOT,12.8,35.85502502502503
DM_ADX_PLOT,71.63272272272272,77.10732732732733
MACD_DIFF,-0.9078678678678678,0.519729729729729
VROC,1055.73995995996,6119.145885885887
VROC,7331.2353353353365,9266.668488488489
